noticia,link
Trump’s staffing,https://edition.cnn.com//2024/11/07/politics/trump-white-house-staff-maralago/index.html
Russia-Ukraine war,https://edition.cnn.com//2024/11/07/europe/zelensky-north-korean-troops-russia-putin-intl-hnk/index.html
Inside El Salvador’s ‘worst’ prison,https://edition.cnn.com//2024/11/06/americas/el-salvador-inside-cecot-prison/index.html
Israeli soccer fans attacked in Amsterdam,https://edition.cnn.com//2024/11/07/europe/israel-soccer-fans-attacked-amsterdam-intl-hnk/index.html
Liam Payne,https://edition.cnn.com//2024/11/07/americas/liam-payne-charged-buenos-aires-intl-latam/index.html
‘Fatbergs’,https://edition.cnn.com//2024/11/07/australia/australia-sydney-bondi-fatbergs-intl-hnk/index.html
Death-defying café,https://edition.cnn.com//travel/cliffside-cafe-fuzhou-china-intl-hnk/index.html
The president-elect has suggested he might use active-duty military to handle what he calls ‘radical left lunatics’ ,https://edition.cnn.com//2024/11/08/politics/pentagon-officials-discussing-trump/index.html
Musk joined Trump-Zelensky call after election night,https://edition.cnn.com//2024/11/08/europe/ukraine-trump-elon-musk-zelensky-intl-latam/index.html
Live Updates,https://edition.cnn.com//politics/live-news/election-trump-harris-11-08-24/index.html
Interactive,https://edition.cnn.com/https://edition.cnn.com/interactive/2024/11/politics/house-votes-count-election-dg/
This $3 billion shoe company is moving production out of China because of Trump’s tariffs – but they’re not moving it to the US,https://edition.cnn.com//2024/11/08/economy/steve-madden-china-trump-tariffs/index.html
"As Trump grasps unprecedented power, SCOTUS’ decision on presidential immunity looms large ",https://edition.cnn.com//2024/11/08/politics/trump-grasps-unprecedented-power-supreme-court-immunity/index.html
The last best hope for Supreme Court liberals: Amy Coney Barrett,https://edition.cnn.com//2024/11/08/politics/amy-coney-barrett-supreme-court-liberal-last-best-hope/index.html
US to allow military contractors to deploy to Ukraine for first time since Russia’s invasion ,https://edition.cnn.com//2024/11/08/politics/biden-administration-american-military-contractors-deploy-ukraine/index.html
DOJ announces charges in Iranian plot to kill Trump ,https://edition.cnn.com//2024/11/08/politics/doj-charges-three-iranian-plot-to-kill-donald-trump/index.html
Video,https://edition.cnn.com//2024/11/08/world/video/doj-charges-thwarted-iran-plot-trump-mccabe-cnc-digvid
" - Source:
                CNN
",https://edition.cnn.com//videos/fast/cnni-fast
DNA analysis upends long-held assumptions about Pompeii victims’ final moments ,https://edition.cnn.com//2024/11/08/science/pompeii-ancient-dna-body-casts/index.html
"Antisemitic attacks on Israeli soccer fans bring shame on Amsterdam, mayor says ",https://edition.cnn.com//2024/11/07/europe/israel-soccer-fans-attacked-amsterdam-intl-hnk/index.html
Zelensky confirms deadly clashes with North Korean troops ,https://edition.cnn.com//2024/11/07/europe/zelensky-north-korean-troops-russia-putin-intl-hnk/index.html
NASA astronauts on readjusting to life on Earth: ‘It’s hard to sit’ ,https://edition.cnn.com//2024/11/08/science/spacex-nasa-crew-8-astronauts-update/index.html
"Weather extremes influence illegal migration and return between the US and Mexico, study finds",https://edition.cnn.com//2024/11/08/americas/weather-migration-us-mexico-study/index.html
Notre-Dame’s bells ring out for the first time since the devastating 2019 fire,https://edition.cnn.com//2024/11/08/style/notre-dame-bells-ring-first-time-scli-intl/index.html
‘Death by a thousand cuts’: How experts warn Trump could use an authoritarian playbook to go after the media,https://edition.cnn.com//2024/11/08/media/trump-authoritarian-press-media-attacks/index.html
Israel-France tensions deepen as Paris says consulate staff briefly detained by police in Jerusalem,https://edition.cnn.com//2024/11/07/middleeast/israel-france-consulate-staff-detained-jerusalem-intl-hnk/index.html
The world’s best new building has been announced. And it isn’t a glossy skyscraper ,https://edition.cnn.com//2024/11/08/style/australia-world-building-year-school-intl-scli/index.html
Her wife died and she went on a cruise. Then she unexpectedly fell in love with another passenger ,https://edition.cnn.com//travel/cruise-ship-romance-tam-bobbi-chance-encounters/index.html
An AI robot created this portrait of Alan Turing. And it just sold for $1.08 million ,https://edition.cnn.com//2024/11/08/style/ai-da-portrait-alan-turing-record-sale-intl-scli/index.html
Grammy Award nominations 2025 revealed ,https://edition.cnn.com//2024/11/08/entertainment/grammy-nominations-2025/index.html
The Beatles earn first Grammy nominations since 1997 ,https://edition.cnn.com//2024/11/08/entertainment/beatles-now-and-then-grammys/index.html
Californians desperately flee their homes amid raging wildfires ,https://edition.cnn.com//2024/11/08/us/californians-flee-homes-amid-raging-wildfires-hnk/index.html
